division,diff,se,lower,upper
New England,1.7801132,1.7206119,-1.5922861,5.1525126
Middle Atlantic,1.9498215,3.2525864,-4.4252477,8.3248911
East North Central,.041503906,2.6653442,-5.1825709,5.2655787
West North Central,7.6798325,5.1694036,-2.4521985,17.811863
South Atlantic,3.2563171,3.4678655,-3.5406992,10.053333
East South Central,9.3347626,5.4745326,-1.3953214,20.064846
West South Central,5.1023102,3.7749236,-2.29654,12.501161
Mountaion North,5.4958649,5.9644976,-6.1945505,17.186279
Mountaion South,18.516983,5.7779722,7.1921573,29.841808
Pacific,3.4323196,3.7966764,-4.0091662,10.873805
